CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,PhoneNumber,Address
11038,MRS.,DIANA,HERNANDEZ,3/23/1948,M,F,diana2@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,(123) 324-7042,"6743 Main Street, Los Angeles, CA 15731"
11039,MR.,MARC,MARTIN,12/17/1948,M,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y,(123) 271-6631,"5747 Main Street, Chicago, IL 89630"
11040,MR.,JESSE,MURPHY,08/01/1977,M,M,jesse15@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y,(123) 479-7755,"9520 Elm Street, Los Angeles, NY 17200"
11041,MS.,AMANDA,CARTER,10/16/1977,M,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,(555) 398-9800,"294 Main Street, Los Angeles, IL 60573"
11042,MS.,MEGAN,SANCHEZ,6/13/1977,M,F,megan28@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y,(789) 586-8200,"4931 Main Street, Los Angeles, IL 73787"
11043,MR.,NATHAN,SIMMONS,2/24/1976,M,M,nathan11@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,(123) 175-9524,"5151 Park Avenue, Chicago, CA 57658"
11044,MR.,ADAM,FLORES,5/24/1949,M,M,adam10@adventure-works.com,"$20,000 ",2,Partial High School,Clerical,Y,(123) 909-8126,"3859 Elm Street, Los Angeles, NY 34348"
11045,MR.,LEONARD,NARA,5/19/1950,S,M,leonard18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,(789) 830-4682,"4670 Elm Street, Chicago, IL 30204"
11046,MRS.,CHRISTINE,YUAN,3/22/1950,M,F,christine4@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,(123) 713-7379,"2703 Elm Street, Los Angeles, NY 54332"
11047,MRS.,JACLYN,LU,2/27/1950,M,F,jaclyn12@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,(123) 405-3692,"2493 Main Street, Los Angeles, IL 21790"
11048,MR.,JEREMY,POWELL,11/22/1950,M,M,jeremy26@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,(789) 538-5632,"3221 Elm Street, New York, NY 83385"
11049,MS.,CAROL,RAI,7/18/1980,S,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y,(123) 669-9916,"8416 Main Street, Chicago, CA 32376"
11050,MR.,ALAN,ZHENG,09/07/1951,M,M,alan23@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,(789) 725-9776,"1097 Main Street, Chicago, NY 49735"
11051,MR.,DANIEL,JOHNSON,08/04/1951,S,M,daniel18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,(555) 775-7398,"2530 Elm Street, Chicago, CA 74834"
11052,MRS.,HEIDI,LOPEZ,08/07/1951,S,F,heidi19@adventure-works.com,"$40,000 ",2,Partial College,Clerical,N,(123) 524-5616,"9795 Park Avenue, Los Angeles, IL 59657"
11053,MS.,ANA,PRICE,8/20/1980,M,F,ana0@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N,(123) 924-5502,"4632 Main Street, New York, IL 85851"
11054,MRS.,DEANNA,MUNOZ,03/10/1952,M,F,deanna33@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y,(789) 163-8994,"7350 Main Street, Chicago, IL 24395"
11055,MR.,GILBERT,RAJE,03/05/1952,M,M,gilbert35@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y,(789) 731-2645,"9806 Park Avenue, Los Angeles, CA 55452"
11056,MRS.,MICHELE,NATH,04/03/1953,M,F,michele19@adventure-works.com,"$40,000 ",3,Partial College,Skilled Manual,Y,(123) 974-1345,"7808 Elm Street, Chicago, CA 76300"
11057,MR.,CARL,ANDERSEN,10/12/1953,M,M,carl12@adventure-works.com,"$70,000 ",2,Graduate Degree,Management,Y,(789) 847-2482,"8955 Park Avenue, Los Angeles, NY 88846"
11058,MR.,MARC,DIAZ,4/27/1954,M,M,marc6@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,(123) 218-5369,"4328 Elm Street, New York, CA 95510"
11059,MRS.,ASHLEE,ANDERSEN,04/01/1954,S,F,ashlee19@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,(555) 120-6875,"4514 Elm Street, Los Angeles, NY 57048"
11060,MR.,JON,ZHOU,3/17/1954,M,M,jon28@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,(123) 876-9360,"8361 Park Avenue, Los Angeles, NY 88903"
11061,MR.,TODD,GAO,2/27/1954,M,M,todd14@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,(789) 712-9156,"5226 Park Avenue, New York, NY 86809"
11062,MR.,NOAH,POWELL,09/02/1975,M,M,noah5@adventure-works.com,"$40,000 ",0,,Skilled Manual,Y,(123) 641-7721,"5132 Main Street, New York, IL 93742"
11063,MS.,ANGELA,MURPHY,04/07/1975,S,F,angela41@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(789) 369-6726,"9224 Main Street, Chicago, NY 76033"
11064,MR.,CHASE,REED,12/07/1975,M,M,chase21@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(123) 384-5827,"705 Main Street, Los Angeles, NY 97632"
11065,MS.,JESSICA,HENDERSON,10/09/1973,M,F,jessica29@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N,(123) 611-9410,"7755 Park Avenue, New York, NY 55740"
11066,MS.,GRACE,BUTLER,11/27/1973,M,F,grace62@adventure-works.com,"$70,000 ",0,Partial College,Professional,Y,(789) 565-7609,"6470 Park Avenue, Chicago, IL 76952"
11067,MR.,CALEB,CARTER,9/25/1976,S,M,caleb40@adventure-works.com,"$60,000 ",0,Partial College,Professional,Y,(123) 898-1915,"4773 Main Street, Chicago, NY 95612"
11068,MRS.,TIFFANY,LIANG,9/23/1955,S,F,tiffany17@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y,(555) 136-2519,"779 Elm Street, Los Angeles, NY 58999"
11069,MRS.,CAROLYN,NAVARRO,9/21/1955,S,F,carolyn30@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N,(123) 975-7584,"5684 Main Street, New York, NY 55598"
11070,MR.,WILLIE,RAJI,04/05/1955,M,M,willie40@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y,(123) 729-4975,"993 Park Avenue, Los Angeles, CA 28105"
11071,MRS.,LINDA,SERRANO,6/26/1955,S,F,linda31@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y,(555) 578-9827,"1480 Park Avenue, New York, CA 37357"
11072,MRS.,CASEY,LUO,02/06/1955,S,F,casey6@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N,(789) 784-5657,"4403 Park Avenue, Los Angeles, CA 22084"
11073,MRS.,AMY,YE,8/14/1956,S,F,amy16@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y,(789) 968-7980,"9759 Park Avenue, Chicago, CA 62123"
11074,MR.,LEVI,ARUN,8/28/1956,S,M,levi6@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y,(789) 934-1200,"3270 Main Street, Chicago, CA 29257"
11075,MRS.,FELICIA,JIMENEZ,11/16/1957,S,F,felicia4@adventure-works.com,"$80,000 ",2,High School,Professional,Y,(789) 788-5173,"5913 Main Street, Chicago, CA 82504"
11076,MR.,BLAKE,ANDERSON,7/13/1957,S,M,blake9@adventure-works.com,"$80,000 ",2,High School,Professional,Y,(123) 452-7084,"6288 Main Street, Los Angeles, IL 13753"
11077,MRS.,LEAH,YE,9/19/1957,S,F,leah7@adventure-works.com,"$80,000 ",2,High School,Professional,N,(123) 619-2903,"2398 Elm Street, Chicago, NY 62312"
11078,MS.,GINA,MARTIN,01/10/1974,S,F,gina1@adventure-works.com,"$40,000 ",0,High School,Professional,N,(555) 437-7252,"8468 Main Street, Chicago, CA 25522"
11079,MR.,DONALD,GONZALEZ,03/11/1959,S,M,donald20@adventure-works.com,"$160,000 ",0,Graduate Degree,Management,Y,(555) 490-1834,"2231 Elm Street, Los Angeles, CA 51925"
11080,MR.,DAMIEN,CHANDER,7/17/1959,M,M,damien32@adventure-works.com,"$170,000 ",0,Graduate Degree,Management,Y,(789) 536-5743,"4013 Elm Street, Chicago, IL 57396"
11081,MRS.,SAVANNAH,BAKER,7/24/1966,M,F,savannah39@adventure-works.com,"$120,000 ",2,Bachelors,Management,Y,(555) 120-2722,"8048 Elm Street, New York, NY 96678"
11082,,ANGELA,BUTLER,08/04/1966,S,,angela17@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,N,(123) 230-2170,"7131 Elm Street, Los Angeles, IL 86619"
11083,MS.,ALYSSA,COX,3/15/1966,M,F,alyssa37@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,Y,(789) 355-6091,"9434 Elm Street, New York, IL 22703"
11084,MR.,LUCAS,PHILLIPS,09/12/1957,S,M,lucas7@adventure-works.com,"$80,000 ",2,Partial High School,Skilled Manual,N,(555) 109-4057,"5746 Main Street, Los Angeles, CA 39901"
11085,MRS.,EMILY,JOHNSON,7/19/1957,S,F,emily1@adventure-works.com,"$60,000 ",2,High School,Professional,N,(789) 454-5788,"5567 Park Avenue, New York, CA 70798"
11086,MR.,RYAN,BROWN,12/23/1957,M,M,ryan43@adventure-works.com,"$70,000 ",2,Partial College,Professional,Y,(123) 724-3527,"5011 Park Avenue, Chicago, CA 90243"
11087,MRS.,TAMARA,LIANG,10/03/1957,M,F,tamara6@adventure-works.com,"$70,000 ",3,Partial College,Professional,N,(789) 456-5365,"1199 Main Street, New York, IL 59101"
11089,MRS.,ABIGAIL,PRICE,02/05/1957,S,F,abigail25@adventure-works.com,"$80,000 ",2,Bachelors,Management,Y,(555) 751-1681,"7851 Main Street, Los Angeles, NY 27101"
11090,MR.,TREVOR,BRYANT,12/17/1957,S,M,trevor18@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y,(123) 279-2146,"1485 Elm Street, New York, NY 58000"
11091,MR.,DALTON,PEREZ,04/04/1957,M,M,dalton37@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y,(789) 718-1902,"5391 Elm Street, New York, IL 15841"
11092,MRS.,CHERYL,DIAZ,05/06/1967,M,F,cheryl4@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y,(123) 101-4727,"9157 Elm Street, Chicago, IL 55994"
11093,MS.,AIMEE,HE,09/10/1967,M,F,aimee13@adventure-works.com,"$100,000 ",0,Graduate Degree,Management,Y,(789) 388-4486,"9351 Main Street, New York, IL 74465"
11094,MR.,CEDRIC,MA,04/01/1962,S,M,cedric15@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,N,(555) 737-9411,"2684 Elm Street, Chicago, CA 75799"
11095,MR.,CHAD,KUMAR,09/01/1962,S,M,chad9@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y,(789) 971-4277,"637 Park Avenue, New York, IL 81191"
11096,MR.,ANDRÉS,ANAND,08/10/1962,M,M,andrés18@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y,(555) 995-9914,"9370 Elm Street, Los Angeles, CA 42640"
11097,MR.,EDWIN,NARA,10/27/1961,M,M,edwin39@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,(555) 428-4614,"9802 Elm Street, Los Angeles, IL 25344"
11098,MRS.,MALLORY,RUBIO,05/01/1961,S,F,mallory7@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N,(555) 828-3572,"3193 Park Avenue, Los Angeles, NY 74847"
11099,MR.,ADAM,ROSS,03/08/1961,M,M,adam2@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y,(555) 178-9147,"3113 Park Avenue, Los Angeles, IL 15438"
11100,MRS.,LATASHA,NAVARRO,9/15/1960,S,F,latasha10@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,(123) 652-6054,"446 Elm Street, New York, NY 60354"
11101,MS.,ABBY,SAI,05/08/1965,S,F,abby4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(555) 289-2654,"3399 Elm Street, New York, NY 24026"
11102,MRS.,JULIA,NELSON,4/21/1965,S,F,julia7@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y,(555) 158-6831,"8786 Elm Street, Los Angeles, NY 33921"
11103,MS.,CASSIE,CHANDE,10/17/1964,S,F,cassie13@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y,(123) 651-8444,"1712 Elm Street, New York, IL 30452"
11104,MR.,EDGAR,SARA,03/11/1964,M,M,edgar11@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(123) 533-3088,"4818 Main Street, Chicago, IL 79761"
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,S,F,candace15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(789) 443-3897,"3638 Park Avenue, Los Angeles, IL 23298"
11106,MR.,JESSIE,LIU,09/11/1964,S,M,jessie9@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(123) 211-4361,"1748 Main Street, Los Angeles, IL 20022"
11107,MRS.,BIANCA,LIN,09/09/1959,M,F,bianca7@adventure-works.com,"$90,000 ",1,Bachelors,Professional,Y,(555) 773-7428,"5458 Park Avenue, Chicago, NY 48329"
11108,MS.,KARI,ALVAREZ,7/14/1963,S,F,kari25@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(789) 306-9765,"1818 Main Street, Chicago, IL 21870"
11109,MR.,RUBEN,KAPOOR,11/05/1963,S,M,ruben1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,(555) 218-9607,"2924 Park Avenue, Chicago, CA 54637"
11110,MR.,CURTIS,YANG,06/06/1962,M,M,curtis5@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,(555) 280-9735,"7871 Elm Street, Chicago, NY 36777"
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,F,meredith34@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,(789) 827-2549,"8470 Main Street, New York, IL 33663"
11112,MRS.,CRYSTAL,WANG,09/09/1962,M,F,crystal3@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,(123) 272-1802,"8483 Park Avenue, Los Angeles, CA 40504"
11113,MR.,MICHEAL,BLANCO,2/21/1962,M,M,micheal11@adventure-works.com,"$70,000 ",5,Bachelors,Professional,Y,(789) 641-8574,"2553 Elm Street, New York, CA 76782"
11114,MRS.,LESLIE,MORENO,5/28/1962,S,F,leslie7@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(789) 324-5229,"1057 Elm Street, Los Angeles, NY 75784"
11115,MR.,ALVIN,CAI,02/12/1962,M,M,alvin20@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(123) 288-9488,"9557 Main Street, Los Angeles, IL 85782"
11116,MR.,CLINTON,CARLSON,10/07/1962,M,M,clinton14@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(555) 820-4129,"6650 Park Avenue, Chicago, CA 35989"
11117,MRS.,APRIL,DENG,2/21/1961,M,F,april1@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(555) 427-5005,"620 Park Avenue, Chicago, NY 51909"
11118,MR.,ALVIN,ZENG,07/03/1957,S,M,alvin21@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,N,(789) 856-1522,"2260 Elm Street, Los Angeles, IL 49889"
11119,MR.,EVAN,JAMES,04/10/1935,S,M,evan8@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,(789) 287-8610,"9860 Main Street, Chicago, CA 43389"
11121,MR.,ORLANDO,SUAREZ,11/18/1960,M,M,orlando19@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(555) 996-6414,"2025 Park Avenue, Los Angeles, CA 82001"
11122,MR.,BYRON,VAZQUEZ,04/02/1960,M,M,byron9@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(123) 267-7607,"5849 Park Avenue, Chicago, CA 67503"
11123,MR.,PHILIP,ALVAREZ,6/20/1960,M,M,philip4@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,(123) 128-4622,"9839 Park Avenue, New York, IL 57111"
11124,MR.,ROSS,JORDAN,7/27/1957,S,M,ross1@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,Y,(123) 455-3203,"3313 Park Avenue, Chicago, CA 56950"
11125,MRS.,DANA,NAVARRO,04/08/1956,S,F,dana2@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y,(789) 616-5411,"8466 Park Avenue, Chicago, IL 46067"
11126,MR.,SHAUN,CARSON,04/07/1949,M,M,shaun16@adventure-works.com,"$10,000 ",2,High School,Skilled Manual,N,(789) 388-7572,"7360 Elm Street, Chicago, IL 75968"
11127,MS.,JAN,EDWARDS,10/21/1975,M,F,jan11@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(555) 641-3315,"2411 Park Avenue, Chicago, IL 73822"
11128,MS.,SAMANTHA,LONG,12/05/1975,M,F,samantha35@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(789) 980-8687,"6027 Elm Street, New York, NY 68234"
11129,MS.,JULIA,WRIGHT,08/05/1975,S,F,julia17@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(555) 317-6985,"3044 Elm Street, Chicago, IL 59494"
11130,MS.,CAROLINE,RUSSELL,01/06/1980,M,F,caroline21@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,Y,(789) 193-4344,"8488 Main Street, New York, CA 62973"
11131,MS.,AMANDA,RIVERA,03/12/1980,M,F,amanda7@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N,(555) 364-9374,"606 Elm Street, Los Angeles, NY 67800"
11132,MS.,MELISSA,RICHARDSON,10/26/1980,S,F,melissa31@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N,(789) 590-4199,"3020 Park Avenue, Los Angeles, IL 55747"
11133,MS.,ANGELA,GRIFFIN,09/08/1980,S,F,angela23@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N,(555) 728-1722,"1689 Elm Street, Chicago, CA 77491"
11134,MR.,LARRY,TOWNSEND,2/26/1946,S,M,larry14@adventure-works.com,"$10,000 ",5,High School,Skilled Manual,Y,(123) 355-5291,"9869 Park Avenue, Chicago, IL 62597"
11135,MR.,MARCUS,HARRIS,11/03/1979,S,M,marcus14@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N,(123) 762-6768,"4201 Elm Street, New York, IL 65695"
11136,MS.,BRIANNA,MORGAN,10/26/1978,S,F,brianna30@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(123) 321-8368,"4894 Main Street, Chicago, IL 20344"
11137,MS.,JASMINE,TAYLOR,7/20/1978,M,F,jasmine7@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(789) 868-7626,"7569 Main Street, Chicago, CA 79851"
11138,MS.,LAUREN,DAVIS,9/15/1978,M,F,lauren23@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(789) 869-6006,"5250 Park Avenue, New York, IL 71536"
11139,MRS.,TANYA,MORENO,11/09/1938,S,F,tanya2@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,(123) 391-8207,"1341 Main Street, New York, NY 76680"
11140,MR.,JAVIER,ALVAREZ,02/11/1977,S,M,javier1@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N,(789) 331-2815,"375 Main Street, Chicago, IL 39276"
11141,MS.,NICOLE,RAMIREZ,6/21/1977,M,F,nicole42@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(123) 711-1234,"7927 Elm Street, Los Angeles, IL 14995"
11142,MR.,EDUARDO,PATTERSON,8/14/1977,S,M,eduardo55@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(123) 819-7184,"7744 Park Avenue, Chicago, IL 32237"
11143,MR.,JONATHAN,HENDERSON,02/04/1977,M,M,jonathan4@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,(789) 817-6768,"3641 Park Avenue, Chicago, IL 84917"
11144,MR.,EDWARD,HERNANDEZ,09/09/1979,S,M,edward48@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,(555) 541-1196,"2093 Park Avenue, New York, IL 67454"
